128,North Macedonia,13458,2843,563,10052,41.6086,21.7453,1598120864000
149,Senegal,12850,4419,266,8165,14.4974,-14.4524,1598120864000
161,Sudan,12623,5335,812,6476,12.8628,30.2176,1598120864000
134,Paraguay,12536,5347,182,7007,-23.4425,-58.4438,1598120864000
98,Lebanon,12191,8724,121,3346,33.8547,35.8623,1598120864000
93,Kosovo,12168,3571,448,8149,42.602636,20.902977,1598120864000
187,Zambia,10831,610,279,9942,-13.133897,27.849332,1598120864000
129,Norway,10275,861,264,9150,60.472,8.4689,1598120864000
101,Libya,10121,8888,180,1053,26.3351,17.228331,1598120864000
41,Congo (Kinshasa),9811,640,251,8920,-4.0383,21.7587,1598120864000
108,Malaysia,9257,183,125,8949,4.210484,101.975766,1598120864000
72,Guinea,8932,1231,53,7648,9.9456,-9.6966,1598120864000
64,Gabon,8388,1601,53,6734,-0.8037,11.6094,1598120864000
69,Greece,8381,6794,240,1347,39.0742,21.8243,1598120864000
167,Tajikistan,8277,1139,66,7072,38.861,71.2761,1598120864000
2,Albania,8275,3846,245,4184,41.1533,20.1683,1598120864000
75,Haiti,8050,2407,196,5447,18.9712,-72.2852,1598120864000
62,Finland,7906,472,334,7100,61.9241,25.7482,1598120864000
44,Croatia,7900,2052,170,5678,45.1,15.2,1598120864000
104,Luxembourg,7704,611,124,6969,49.8153,6.1296,1598120864000
112,Mauritania,6885,541,158,6186,21.0079,-10.9408,1598120864000
109,Maldives,6564,2526,26,4012,3.2028,73.2207,1598120864000
188,Zimbabwe,5893,1111,153,4629,-19.015438,29.154857,1598120864000
50,Djibouti,5382,89,60,5233,11.8251,42.5903,1598120864000
107,Malawi,5322,2227,166,2929,-13.2543,34.3015,1598120864000
121,Namibia,5227,2728,42,2457,-22.9576,18.4904,1598120864000
78,Hungary,5133,830,611,3692,47.1625,19.5033,1598120864000
56,Equatorial Guinea,4926,2130,83,2713,1.6508,10.2679,1598120864000
34,Central African Republic,4679,2863,61,1755,6.6111,20.9394,1598120864000
125,Nicaragua,4311,1265,133,2913,12.865416,-85.207229,1598120864000
